country,new_cases,tests_done,population,testing_rate,positivity_rate,datetime
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-01-06
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-01-13
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-01-20
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-01-27
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-02-03
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-02-10
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-02-17
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-02-24
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-03-02
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-03-09
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-03-16
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-03-23
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-03-30
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2020-04-06
Austria,-0.6236107383934345,-0.8585962419474633,-0.2907743876546741,-0.8585962419740815,2.6407195215740225,2020-04-13
Austria,-0.6430093350324606,-0.8362835253244226,-0.2907743876546741,-0.8362835253477212,-0.5297645822162419,2020-04-20
Austria,-0.6469661792907234,-0.8483926065141354,-0.2907743876546741,-0.8483926065396918,-0.4905397207834504,2020-04-27
Austria,-0.6492463946259937,-0.8517021158271154,-0.2907743876546741,-0.8517021158537554,-0.528946093269961,2020-05-04
Austria,-0.6500511765090301,-0.8441813828302704,-0.2907743876546741,-0.8441813828545555,-0.6550051652289225,2020-05-11
Austria,-0.6488607699737052,-0.8423209019191897,-0.2907743876546741,-0.8423209019430291,-0.631497490869281,2020-05-18
Austria,-0.6500344102198002,-0.8455375805837998,-0.2907743876546741,-0.8455375806077307,-0.6441251392372562,2020-05-25
Austria,-0.6512080504658951,-0.8419940606780539,-0.2907743876546741,-0.8419940607016398,-0.7030846166508655,2020-06-01
Austria,-0.6506715292105375,-0.8447083901569539,-0.2907743876546741,-0.8447083901809318,-0.6719475634129601,2020-06-08
Austria,-0.6515936751181834,-0.8475223191856673,-0.2907743876546741,-0.8475223192127214,-0.6868812623607115,2020-06-15
Austria,-0.6503194371367089,-0.8569349601360098,-0.2907743876546741,-0.8569349601632312,-0.43692898612585757,2020-06-22
Austria,-0.6488607699737052,-0.834631429879214,-0.2907743876546741,-0.834631429902944,-0.6746353819153481,2020-06-29
Austria,-0.6437470517585774,-0.8426675663716963,-0.2907743876546741,-0.8426675663951908,-0.4735444932685378,2020-07-06
Austria,-0.6444847684846942,-0.8409018500808265,-0.2907743876546741,-0.8409018501059679,-0.5185942983334413,2020-07-13
Austria,-0.6413327061094678,-0.8394547556507682,-0.2907743876546741,-0.8394547556763721,-0.4513058941399346,2020-07-20
Austria,-0.6398572726572342,-0.8165855386304682,-0.2907743876546741,-0.8165855386697499,-0.5967898798517025,2020-07-27
Austria,-0.6411650432171686,-0.8368018297778214,-0.2907743876546741,-0.8368018298023395,-0.480556768076741,2020-08-03
Austria,-0.6423722160417233,-0.8372186007095656,-0.2907743876546741,-0.837218600735838,-0.5050509900599573,2020-08-10
Austria,-0.6299483957223471,-0.8371857231882679,-0.2907743876546741,-0.8371857232131091,-0.2036639044967753,2020-08-17
Austria,-0.6225041633042593,-0.8275763006030995,-0.2907743876546741,-0.8275763006291799,-0.22462103393229496,2020-08-24
Austria,-0.6219341094704417,-0.8272823368832614,-0.2907743876546741,-0.8272823369062005,-0.21898633178123578,2020-08-31
Austria,-0.6164515328922554,-0.8240777455426578,-0.2907743876546741,-0.8240777455691436,-0.17488702373880105,2020-09-07
Austria,-0.5874626188137109,-0.8228651451983257,-0.2907743876546741,-0.8228651452215714,0.26920644273541516,2020-09-14
Austria,-0.5670915773993489,-0.8149474644811071,-0.2907743876546741,-0.814947464516921,0.37166986815253233,2020-09-21
Austria,-0.5764136342111886,-0.810983305699935,-0.2907743876546741,-0.810983305731449,0.1693407841375311,2020-09-28
Austria,-0.5606197897565969,-0.8012854039030392,-0.2907743876546741,-0.8012854039340368,0.18682649304422505,2020-10-05
Austria,-0.528931503112034,-0.8042883786792142,-0.2907743876546741,-0.8042883787074799,0.5855255968936228,2020-10-12
Austria,-0.48842414833252923,-0.8018786497652782,-0.2907743876546741,-0.8018786498045046,0.9619549595947252,2020-10-19
Austria,-0.3480903074780362,-0.787688131381646,-0.2907743876546741,-0.7876881313907041,1.8505891233586438,2020-10-26
Austria,-0.124327411415424,-0.783371022739484,-0.2907743876546741,-0.7833710227485686,3.5421403699913974,2020-11-02
Austria,0.09598162906582315,-0.768072821983896,-0.2907743876546741,-0.7680728220073914,4.371919862820786,2020-11-09
Austria,0.14839304919857646,-0.7605898014379513,-0.2907743876546741,-0.7605898014524763,4.334900443456741,2020-11-16
Austria,0.028664977807664308,-0.7641188165548893,-0.2907743876546741,-0.7641188165636661,3.7227367986814692,2020-11-23
Austria,-0.131956073015041,-0.7695745511184637,-0.2907743876546741,-0.76957455114343,2.858152339420152,2020-11-30
Austria,-0.2674947551497748,-0.7853804194823247,-0.2907743876546741,-0.7853804194902073,2.4501252747082445,2020-12-07
Austria,-0.3408305042414776,-0.7857604449490891,-0.2907743876546741,-0.7857604449680506,1.8470187984535644,2020-12-14
Austria,-0.40526335375208894,-0.7747455083284448,-0.2907743876546741,-0.7747455083533312,1.0454806873339884,2020-12-21
Austria,-0.4307481133815787,-0.7852880723269151,-0.2907743876546741,-0.7852880723308415,1.077081663192672,2020-12-28
Austria,-0.404542403315202,-0.8028408007561957,-0.2907743876546741,-0.8028408007706126,1.893033831357694,2021-01-04
Austria,-0.4077112319796583,-0.798306603774877,-0.2907743876546741,-0.7983066037899696,1.6769760872629191,2021-01-04
Austria,-0.46532020177368916,-0.42374460746142184,-0.2907743876546741,-0.423744607517581,-0.5140973559662229,2021-01-11
Austria,-0.4747596226101383,-0.3112764090175717,-0.2907743876546741,-0.31127640913087457,-0.5834369949781373,2021-01-18
Austria,-0.4799571722714159,-0.5475294421331184,-0.2907743876546741,-0.5475294421683029,-0.4333956232607647,2021-01-25
Austria,-0.47496081808089746,-0.400271507733757,-0.2907743876546741,-0.4002715076662249,-0.54232782300522,2021-02-01
Austria,-0.4864960250710876,-0.1500116835594767,-0.2907743876546741,-0.1500116835796484,-0.6430997165434925,2021-02-08
Austria,-0.4437419875347725,-0.13888264260021102,-0.2907743876546741,-0.1388826424534126,-0.6063239185899205,2021-02-15
Austria,-0.35684231045605835,-0.099490053663024,-0.2907743876546741,-0.09949005358790769,-0.5407442236586644,2021-02-22
Austria,-0.3106344173383782,-0.0658959957982357,-0.2907743876546741,-0.0658959958170834,-0.5131558626594855,2021-03-01
Austria,-0.26799774382667263,0.0201981451563894,-0.2907743876546741,0.020198145033679702,-0.5089690525312863,2021-03-08
Austria,-0.21409412395245575,0.09823632640716162,-0.2907743876546741,0.09823632622893104,-0.4952850038454842,2021-03-15
Austria,-0.18824050595990757,0.14174392392912186,-0.2907743876546741,0.14174392381252826,-0.49135150017460255,2021-03-22
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-03-29
Austria,-0.3121601496583016,0.13511765290875796,-0.2907743876546741,0.13511765298993786,-0.5717296939815046,2021-04-05
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-04-12
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-04-19
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-04-26
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-05-03
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-05-10
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-05-17
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-05-24
Austria,-0.60614026501585,1.4849695613347658,-0.2907743876546741,1.4849695615271195,-0.7857291552275905,2021-05-31
Austria,-0.6190167751444343,1.866959459996696,-0.2907743876546741,1.8669594599852293,-0.7907764457415769,2021-06-07
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-06-14
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-06-21
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-06-28
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-07-05
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-07-12
Austria,-0.5978409518470359,0.49272306761293333,-0.2907743876546741,0.49272306768482715,-0.7716634891806712,2021-07-19
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-07-26
Austria,-0.3444604058597569,-0.3860103993779268,-0.2907743876546741,-0.3860103993156428,-0.3861228462038533,2021-08-02
Austria,-0.5328212822133772,0.3850965676731272,-0.2907743876546741,0.3850965676093455,-0.7346794683688698,2021-08-09
Austria,-0.4930516441599892,-0.6396991556263711,-0.2907743876546741,-0.6396991556350327,-0.32208867654533857,2021-08-16
Austria,-0.4694950077919411,0.4423339147875919,-0.2907743876546741,0.44233391459123866,-0.7052964798330416,2021-08-23
Austria,-0.43493968568906055,0.5090037260637699,-0.2907743876546741,0.5090037260756058,-0.6931373972824492,2021-08-30
Austria,-0.4017089004353443,0.7352494218878545,-0.2907743876546741,0.735249422033693,-0.6943552117428717,2021-09-06
Austria,-0.40883457335806345,0.5738826794151446,-0.2907743876546741,0.5738826793504219,-0.6858639457779326,2021-09-13
Austria,-0.4434234280394039,0.6649103825362631,-0.2907743876546741,0.6649103823890857,-0.7076581736066065,2021-09-20
Austria,-0.42050391066209303,0.5932968557414263,-0.2907743876546741,0.5932968558933368,-0.6926981233998666,2021-09-27
Austria,-0.4242260268711369,0.9060041471699336,-0.2907743876546741,0.9060041473451143,-0.7129423962660002,2021-10-04
Austria,-0.3834168788854934,0.8733712733101422,-0.2907743876546741,0.8733712731976194,-0.6957061315568998,2021-10-11
Austria,-0.24343513010482884,0.9199519520875152,-0.2907743876546741,0.9199519522519404,-0.6462569032430519,2021-10-18
